@id,building,building:levels,area_ground_m2,levels_est,area_total_m2,building_type,Qspec_kWh_m2,heating_kWh_year
way/125294645,apartments,3.0,252.0879338671176,3.0,756.2638016013527,MFH,350,264692.33056047343
way/125294649,apartments,,130.6708614762235,3.0,392.0125844286705,MFH,350,137204.40455003467
way/125294652,apartments,,129.14137398181543,3.0,387.4241219454463,MFH,350,135598.4426809062
way/125294654,apartments,,142.328612903085,3.0,426.985838709255,MFH,350,149445.04354823925
way/125294655,apartments,,150.96405817198217,3.0,452.8921745159465,MFH,350,158512.2610805813
way/125294656,apartments,,135.67680266302045,3.0,407.03040798906136,MFH,275,111933.36219699187
way/131233735,apartments,4.0,173.42935033580778,4.0,693.7174013432311,MFH,150,104057.61020148467
way/131233758,apartments,3.0,63.980698964526376,3.0,191.94209689357916,MFH,275,52784.07664573427
way/132435766,apartments,,92.71192491984816,3.0,278.1357747595445,MFH,350,97347.52116584058
way/132435786,apartments,,107.99112318664618,3.0,323.97336955993853,MFH,350,113390.67934597848
way/132435800,apartments,,166.27810845788463,3.0,498.8343253736539,MFH,275,137179.43947775482
way/132435808,apartments,,95.22980941818956,3.0,285.6894282545687,MFH,350,99991.29988909906
way/132435830,apartments,,115.14235700774452,3.0,345.4270710232336,MFH,150,51814.060653485045
way/132474864,apartments,,100.98363213210123,3.0,302.95089639630373,MFH,275,83311.49650898353
way/132474865,house,,93.66774790895433,3.0,281.003243726863,MFH,150,42150.48655902945
way/132474866,house,,34.66427607624227,3.0,103.9928282287268,MFH,350,36397.489880054374
way/132474873,house,,47.13138363158525,3.0,141.39415089475574,MFH,350,49487.952813164506
way/132474876,apartments,,91.58429327680348,3.0,274.7528798304105,MFH,350,96163.50794064367
way/132474878,apartments,,99.82163757461694,3.0,299.46491272385083,MFH,350,104812.71945334779
way/132474879,apartments,,85.28185732231306,3.0,255.8455719669392,MFH,150,38376.835795040875
way/132474884,house,,109.21136454533888,3.0,327.63409363601664,MFH,275,90099.37574990458
way/132474885,apartments,,99.27396892496576,3.0,297.8219067748973,MFH,275,81901.02436309676
way/132474889,apartments,,95.97680212174484,3.0,287.93040636523455,MFH,150,43189.560954785185
way/132474893,apartments,,54.31768767214248,3.0,162.95306301642742,MFH,350,57033.572055749595
way/132474894,apartments,,87.39867192371776,3.0,262.19601577115327,MFH,350,91768.60551990365
way/132474896,apartments,,378.0326670045456,3.0,1134.0980010136368,MFH,350,396934.3003547729
way/132474897,house,,70.16560859750463,3.0,210.4968257925139,MFH,275,57886.62709294132
way/132474900,apartments,,94.60048368976756,3.0,283.80145106930274,MFH,275,78045.39904405826
way/132474903,house,,106.51847038933984,3.0,319.5554111680195,MFH,350,111844.39390880681
way/132474906,apartments,,106.96101286051707,3.0,320.88303858155126,MFH,350,112309.06350354294
way/132474912,apartments,,94.12704770257564,3.0,282.381143107727,MFH,275,77654.81435462492
way/132474913,house,,125.40097697996046,3.0,376.2029309398814,MFH,150,56430.439640982215
way/132474914,apartments,,66.91600902825641,3.0,200.74802708476923,MFH,350,70261.80947966923
way/132474915,apartments,,80.58225331133973,3.0,241.7467599340192,MFH,350,84611.36597690672
way/132474917,house,,88.40696204804057,3.0,265.2208861441217,MFH,275,72935.74368963347
way/132474920,apartments,,78.90216898667713,3.0,236.7065069600314,MFH,275,65094.289414008636
way/132474923,apartments,,171.8292161478396,3.0,515.4876484435188,MFH,350,180420.67695523158
way/132474928,apartments,,194.6743566123668,3.0,584.0230698371004,MFH,275,160606.3442052026
way/132474930,apartments,,273.85974974075543,3.0,821.5792492222663,MFH,350,287552.7372277932
way/132474931,apartments,,105.3588981747753,3.0,316.07669452432594,MFH,275,86921.09099418964
way/132474934,apartments,,67.57339627410042,3.0,202.72018882230125,MFH,350,70952.06608780543
way/132474938,apartments,,95.06973368965365,3.0,285.20920106896097,MFH,275,78432.53029396427
way/132474939,apartments,,69.63111421449405,3.0,208.89334264348213,MFH,275,57445.66922695759
way/132545582,apartments,,89.9984813936496,3.0,269.9954441809488,MFH,350,94498.40546333209
way/132545585,house,,65.84330948574198,3.0,197.52992845722596,MFH,350,69135.47496002908
way/132545586,house,,72.2613084765506,3.0,216.7839254296518,MFH,350,75874.37390037812
way/132545587,house,,85.82962289624302,3.0,257.4888686887291,MFH,350,90121.10404105518
way/132545588,apartments,,88.58420078599542,3.0,265.75260235798623,MFH,350,93013.41082529518
way/132545590,house,,45.53682988040528,3.0,136.61048964121585,MFH,275,37567.88465133436
way/132545591,house,,92.30815737075082,3.0,276.9244721122525,MFH,275,76154.22983086943
way/132545592,apartments,,97.15976027702403,3.0,291.4792808310721,MFH,150,43721.892124660815
way/132545593,house,,80.34592055559432,3.0,241.03776166678296,MFH,275,66285.38445836531
way/132545594,house,,55.348768470618246,3.0,166.04630541185475,MFH,350,58116.20689414916
way/132545595,house,,75.86200992699678,3.0,227.58602978099032,MFH,150,34137.904467148546
way/132545596,apartments,,100.47034427106912,3.0,301.4110328132073,MFH,275,82888.03402363202
way/132545597,apartments,,69.26115867762013,3.0,207.7834760328604,MFH,150,31167.52140492906
way/132545598,apartments,,170.01036120972913,3.0,510.0310836291874,MFH,350,178510.87927021558
way/132545600,house,,64.71928164025357,3.0,194.1578449207607,MFH,275,53393.40735320919
way/132545601,house,,113.89107494190564,3.0,341.6732248257169,MFH,350,119585.6286890009
way/132545602,apartments,,54.14749623712309,3.0,162.44248871136926,MFH,275,44671.68439562655
way/132545604,apartments,,90.67103973526297,3.0,272.0131192057888,MFH,350,95204.59172202609
way/132545605,house,,105.10935251216726,3.0,315.3280575365018,MFH,350,110364.82013777562
way/132545606,house,,73.44782044995753,3.0,220.3434613498726,MFH,150,33051.51920248089
way/132545607,apartments,,102.72036706076702,3.0,308.1611011823011,MFH,350,107856.38541380537
way/132545608,house,,63.72777864183531,3.0,191.18333592550596,MFH,350,66914.16757392709
way/132545609,apartments,,174.67180797611573,3.0,524.0154239283472,MFH,350,183405.39837492153
way/132545610,apartments,,87.47532513214958,3.0,262.42597539644873,MFH,150,39363.89630946731
way/132545613,apartments,,100.8643838569092,3.0,302.5931515707276,MFH,350,105907.60304975467
way/132545614,house,,92.60009998956386,3.0,277.80029996869155,MFH,350,97230.10498904204
way/132545615,apartments,,120.33578859502602,3.0,361.0073657850781,MFH,150,54151.104867761715
way/132545617,house,,67.96719502534954,3.0,203.9015850760486,MFH,350,71365.554776617
way/132545619,house,,90.26698462161066,3.0,270.800953864832,MFH,350,94780.33385269121
way/132545620,apartments,,48.22507520330351,3.0,144.67522560991054,MFH,350,50636.32896346869
way/132653987,apartments,,75.94157322198902,3.0,227.82471966596705,MFH,275,62651.797908140936
way/132653991,apartments,,120.93258403768355,3.0,362.79775211305065,MFH,350,126979.21323956773
way/132653995,apartments,,198.2271559858618,3.0,594.6814679575854,MFH,350,208138.51378515488
way/132653997,house,,72.34826453587166,3.0,217.044793607615,MFH,350,75965.67776266525
way/132653999,apartments,,208.907914221596,3.0,626.7237426647879,MFH,150,94008.56139971818
way/132654001,apartments,,54.8414218665386,3.0,164.52426559961577,MFH,275,45244.17303989434
way/132654003,apartments,,80.34166823120546,3.0,241.0250046936164,MFH,350,84358.75164276574
way/132654007,apartments,,92.8153011716264,3.0,278.4459035148792,MFH,350,97456.06623020773
way/132654010,apartments,,99.85265172958609,3.0,299.5579551887582,MFH,275,82378.4376769085
way/132654013,apartments,,219.04686140473788,3.0,657.1405842142136,MFH,275,180713.66065890875
way/132654014,apartments,,78.19973755698831,3.0,234.59921267096493,MFH,275,64514.783484515356
way/132654015,apartments,,93.73401834958312,3.0,281.20205504874934,MFH,275,77330.56513840608
way/132654016,apartments,,150.8267219443897,3.0,452.4801658331691,MFH,350,158368.05804160918
way/132654017,apartments,,171.51235218422968,3.0,514.537056552689,MFH,350,180087.96979344115
way/132654019,apartments,,70.45284506202438,3.0,211.35853518607317,MFH,275,58123.59717617012
way/132654021,house,,77.87876616918935,3.0,233.63629850756803,MFH,275,64249.98208958121
way/132654022,apartments,,211.81149236913416,3.0,635.4344771074026,MFH,150,95315.17156611038
way/132654027,apartments,,147.92315503846638,3.0,443.7694651153992,MFH,350,155319.31279038973
way/132654029,apartments,,98.2347830987807,3.0,294.7043492963421,MFH,350,103146.52225371974
way/132661844,apartments,,86.27495417904287,3.0,258.8248625371286,MFH,350,90588.701887995
way/132723561,apartments,,70.3904649642198,3.0,211.1713948926594,MFH,350,73909.98821243079
way/132730152,apartments,,89.08167558556079,3.0,267.2450267566824,MFH,275,73492.38235808766
way/132730164,apartments,,53.37452227840137,3.0,160.12356683520412,MFH,150,24018.535025280617
way/132730165,apartments,,90.24993385577918,3.0,270.7498015673375,MFH,275,74456.19543101781
way/132730170,apartments,,102.83373728733784,3.0,308.5012118620136,MFH,350,107975.42415170475
way/132761186,apartments,,83.89625809473499,3.0,251.68877428420492,MFH,350,88091.07099947172
way/132761187,apartments,,92.80444062894088,3.0,278.41332188682264,MFH,275,76563.66351887623
way/132761193,apartments,,87.39941271508827,3.0,262.19823814526484,MFH,275,72104.51548994784
way/132761195,apartments,,120.60444494442687,3.0,361.8133348332807,MFH,275,99498.66707915219
way/132761196,apartments,,81.62797852062265,3.0,244.88393556186796,MFH,350,85709.37744665379
way/132761203,apartments,,111.76418048647248,3.0,335.2925414594174,MFH,275,92205.44890133978
way/132761207,apartments,,65.95955481175936,3.0,197.8786644352781,MFH,275,54416.632719701476
way/132761209,apartments,,91.22726635278136,3.0,273.68179905834404,MFH,350,95788.62967042041
way/132761216,apartments,,77.03832152672706,3.0,231.1149645801812,MFH,350,80890.23760306342
way/132761217,apartments,,70.82747811328764,3.0,212.4824343398629,MFH,350,74368.852018952
way/132761219,apartments,,119.90359006288786,3.0,359.7107701886636,MFH,150,53956.615528299546
way/132761220,apartments,,77.72095154062714,3.0,233.16285462188145,MFH,350,81606.9991176585
way/132761222,apartments,,93.09926854510014,3.0,279.29780563530045,MFH,150,41894.67084529507
way/132761224,apartments,,87.99470447259746,3.0,263.9841134177924,MFH,150,39597.61701266886
way/132761230,apartments,,107.4504463577908,3.0,322.3513390733724,MFH,350,112822.96867568034
way/132761231,apartments,,73.22261346955383,3.0,219.6678404086615,MFH,275,60408.65611238191
way/132761239,apartments,,118.13718135567234,3.0,354.411544067017,MFH,350,124044.04042345595
way/132761241,apartments,,107.37080181058892,3.0,322.1124054317668,MFH,350,112739.34190111837
way/132762515,apartments,,92.9097222881067,3.0,278.7291668643201,MFH,350,97555.20840251204
way/132762527,apartments,,79.08333945709393,3.0,237.25001837128175,MFH,350,83037.50642994861
way/132762533,apartments,,87.12649608006566,3.0,261.379488240197,MFH,350,91482.82088406896
way/132805095,apartments,,87.80568391907025,3.0,263.41705175721074,MFH,350,92195.96811502376
way/132805099,apartments,,91.61958292892923,3.0,274.8587487867877,MFH,275,75586.15591636662
way/132805123,apartments,,63.93016627511307,3.0,191.79049882533923,MFH,275,52742.38717696829
way/132805127,apartments,,116.54072953320998,3.0,349.62218859963,MFH,150,52443.328289944504
